tanggal,komoditas_id,komoditas,grup,satuan,harga_kemarin,harga,hari_nama,is_weekend,is_libur_nasional,nama_libur,is_ramadan,is_pra_ramadan
2020-01-03,16,Telur Ayam Ras,TELUR AYAM,kg,23000,23000,Jumat,0,0,,0,0
2020-01-03,17,Telur Ayam Kampung,TELUR AYAM,kg,40000,40000,Jumat,0,0,,0,0
2020-01-03,20,Susu Kental Manis Merk Bendera,SUSU,370 gr/kl,10000,10000,Jumat,0,0,,0,0
2020-01-03,21,Susu Kental Manis Merk Indomilk,SUSU,370 gr/kl,10000,10000,Jumat,0,0,,0,0
2020-01-03,23,Susu Bubuk Merk Bendera (Instant),SUSU,400 gr/dos,37900,37900,Jumat,0,0,,0,0
2020-01-03,24,Susu Bubuk Merk Indomilk (Instant),SUSU,400 gr/dos,39000,39000,Jumat,0,0,,0,0
2020-01-03,25,Jagung Pipilan Kering,Jagung Pipilan Kering,kg,9750,9750,Jumat,0,0,,0,0
2020-01-03,27,Bata,GARAM BERYODIUM,Buah,2000,2000,Jumat,0,0,,0,0
2020-01-03,28,Halus,GARAM BERYODIUM,kg,8000,8000,Jumat,0,0,,0,0
2020-01-03,30,Terigu Protein Sedang (Kemasan),TEPUNG TERIGU,kg,8500,8500,Jumat,0,0,,0,0
2020-01-03,32,Kedelai Impor,KACANG KEDELAI,kg,9000,9000,Jumat,0,0,,0,0
2020-01-03,33,Kedelai Lokal,KACANG KEDELAI,kg,8000,8000,Jumat,0,0,,0,0
2020-01-03,35,Indomie Rasa Kari Ayam,MIE INSTANT,Bungkus,2500,2500,Jumat,0,0,,0,0
2020-01-03,37,Cabe Merah Keriting,CABE,kg,40000,40000,Jumat,0,0,,0,0
2020-01-03,38,Cabe Merah Besar,CABE,kg,40000,40000,Jumat,0,0,,0,0
2020-01-03,50,Cabe Rawit Merah,CABE,kg,35000,36000,Jumat,0,0,,0,0
2020-01-03,39,Bawang Merah,BAWANG,kg,28000,26000,Jumat,0,0,,0,0
2020-01-03,49,Bawang Putih Sinco/Honan,BAWANG,kg,22000,22000,Jumat,0,0,,0,0
2020-01-03,40,Ikan Asin Teri,Ikan Asin Teri,kg,70000,70000,Jumat,0,0,,0,0
2020-01-03,41,KACANG HIJAU,KACANG HIJAU,kg,15000,15000,Jumat,0,0,,0,0
2020-01-03,42,KACANG TANAH,KACANG TANAH,kg,21000,21000,Jumat,0,0,,0,0
2020-01-03,43,KETELA POHON,KETELA POHON,kg,6000,6000,Jumat,0,0,,0,0
2020-01-03,44,KOL/KUBIS,SAYUR MAYUR,kg,6000,7000,Jumat,0,0,,0,0
2020-01-03,45,KENTANG,SAYUR MAYUR,kg,12000,12000,Jumat,0,0,,0,0
2020-01-03,46,Tomat Merah,SAYUR MAYUR,kg,12000,10000,Jumat,0,0,,0,0
2020-01-03,47,WORTEL,SAYUR MAYUR,kg,8000,10000,Jumat,0,0,,0,0
2020-01-03,48,BUNCIS,SAYUR MAYUR,kg,12000,15000,Jumat,0,0,,0,0
2020-01-03,58,Ikan Bandeng,IKAN SEGAR,kg,35000,30000,Jumat,0,0,,0,0
2020-01-03,59,Ikan Kembung,IKAN SEGAR,kg,28000,28000,Jumat,0,0,,0,0
2020-01-03,61,Ikan Tuna,IKAN SEGAR,kg,35000,35000,Jumat,0,0,,0,0
